,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04
candidate,0.6950354609929078,0.7966210544612717,0.8377922289329289,0.9259689733997577,0.9106509738905688,0.8749118982788203,0.8518038183916841,0.8999642893575956,0.8644496104453825,0.8825104931919867,0.815961077004556,0.7484133606237926,0.7397771332912696,0.8196758806522105,0.7440276052521528,0.6987691465602764
title,0.5211176580305602,0.6602186711522288,0.8732022777229618,0.7655086848635236,0.5667380199882038,0.7246715765488216,0.6777860143316036,0.768503511615343,0.7350720658888126,0.7635392829900838,0.6906012842965559,0.7112934194449292,0.722753346080306,0.7730250177570832,0.7390204346415832,0.7057813394390384
malley,0.6950354609929078,0.6602186711522288,0.7227238525206924,0.7655086848635236,0.7696562623468985,0.726384364820847,0.6777860143316036,0.768503511615343,0.7350720658888126,0.9374193425585777,0.899285523186984,0.9378310190469171,0.8588339719944618,0.7730250177570832,0.7390204346415832,0.7057813394390384
rubio,0.6950354609929078,0.6602186711522288,0.7227238525206924,0.7655086848635236,0.7696562623468985,0.726384364820847,0.6777860143316036,0.768503511615343,0.7350720658888126,0.7635392829900838,0.8884690544418273,0.8945750485914822,0.722753346080306,0.9302450481153374,0.89834435925058,0.7057813394390384
crime,0.9288678829213214,0.5992875361689597,0.7227238525206924,0.7655086848635236,0.8152305060692651,0.8365433064034461,0.6761134526223285,0.768503511615343,0.7350720658888126,0.54377637272454,0.696778542531872,0.6276514844373559,0.722753346080306,0.7730250177570832,0.7390204346415832,0.7057813394390384
candidates,0.6950354609929078,0.6602186711522288,0.7227238525206924,0.8549693284799121,0.9073642665846562,0.8680750110939359,0.8497005397884416,0.9362975748575024,0.8660984866709572,0.8525403123959883,0.8507204390236657,0.883582003830206,0.7930880626328609,0.8576222264679445,0.8212092306223208,0.7233577443765773
voted,0.7194976474396783,0.6811740110484255,0.8142081418135991,0.9127200320330877,0.6792642514234514,0.8911686092690021,0.7637072818305289,0.7505214364384197,0.7350720658888126,0.7269997708252838,0.7893573493557173,0.7838421158450926,0.6989965702587109,0.6883004029573935,0.7556802120926909,0.7330889334006621
wikipedia org,0.7785508256193875,0.9951043313466171,0.8446174543675932,0.9864916965100206,0.9836103510889136,0.9412534686526018,0.9693918297100698,0.8998239569777083,0.8846304936407764,0.9375030078360626,0.823681215606865,0.6790351752414944,0.8089129087221524,0.8847054172995191,0.7362812642326118,0.8417815536754325
prison,0.6950354609929078,0.6602186711522288,0.7227238525206924,0.7655086848635236,0.9186667925658452,0.7610186275914704,0.6615053158392057,0.768503511615343,0.8486326436971199,0.7635392829900838,0.6906012842965559,0.7112934194449292,0.722753346080306,0.7730250177570832,0.7390204346415832,0.7057813394390384
policy,0.7727588413683728,0.6669969469654953,0.6492742191520016,0.642110535113794,0.5991887320439699,0.6564348298947925,0.5426507153883234,0.8653498106589386,0.9181192884270629,0.8171858701140029,0.6786221200342056,0.6354802893970385,0.7330179774460093,0.8059617579705705,0.7912484900248471,0.6905365633567293
webb,0.6950354609929078,0.6602186711522288,0.7227238525206924,0.7655086848635236,0.7696562623468985,0.726384364820847,0.6777860143316036,0.768503511615343,0.7350720658888126,0.9663418374502595,0.6906012842965559,0.7112934194449292,0.722753346080306,0.7730250177570832,0.7390204346415832,0.7057813394390384
texas,0.6950354609929078,0.6602186711522288,0.7227238525206924,0.8988402837486429,0.8127885786813682,0.9136206823736244,0.8331723486204713,0.768503511615343,0.7350720658888126,0.7635392829900838,0.6906012842965559,0.7112934194449292,0.722753346080306,0.7730250177570832,0.7390204346415832,0.7057813394390384
ben carson,0.6950354609929078,0.6602186711522288,0.7227238525206924,0.7655086848635236,0.7696562623468985,0.726384364820847,0.6777860143316036,0.768503511615343,0.8926155154952148,0.9513331752555494,0.9728413486132733,0.7970958506563643,0.722753346080306,0.9454487264261964,0.7390204346415832,0.7057813394390384
nation,0.8568376310184757,0.6403424481862924,0.8184811023478572,0.7124493232692025,0.8242371332623285,0.9040012677726035,0.6839084821948942,0.6322262617229994,0.7658313141300964,0.8206931656016802,0.789133024022531,0.6704581594538565,0.7736596212853327,0.7730250177570832,0.7390204346415832,0.7057813394390384
cruz,0.6950354609929078,0.6602186711522288,0.7000405929675438,0.7655086848635236,0.8090022173075665,0.726384364820847,0.7166366072060892,0.8808384869385403,0.8381398827876073,0.7635392829900838,0.744725964910869,0.8875918895003507,0.8775187756832045,0.8616549770327752,0.8763892033597139,0.8389966986935011
